ds,hour,station_key,guests_count,version,required,actual,diff,status
2026-04-28,12,C,35,будни/осн.,1,1,0,exact
2026-04-28,12,FF,35,будни/осн.,1,1,0,exact
2026-04-28,12,K,35,будни/осн.,2,2,0,exact
2026-04-28,12,TS,35,будни/осн.,1,1,0,exact
2026-04-28,13,BVR,27,будни/осн.,1,1,0,exact
2026-04-28,13,C,27,будни/осн.,1,1,0,exact
2026-04-28,13,FF,27,будни/осн.,1,1,0,exact
2026-04-28,13,K,27,будни/осн.,2,2,0,exact
2026-04-28,13,TS,27,будни/осн.,1,1,0,exact
2026-04-28,14,BVR,22,будни/осн.,1,1,0,exact
2026-04-28,14,C,22,будни/осн.,1,1,0,exact
2026-04-28,14,FF,22,будни/осн.,1,1,0,exact
2026-04-28,14,K,22,будни/осн.,2,2,0,exact
2026-04-28,14,TS,22,будни/осн.,1,1,0,exact
2026-04-28,15,BVR,24,будни/осн.,1,1,0,exact
2026-04-28,15,C,24,будни/осн.,1,1,0,exact
2026-04-28,15,FF,24,будни/осн.,1,1,0,exact
2026-04-28,15,K,24,будни/осн.,2,2,0,exact
2026-04-28,15,TS,24,будни/осн.,1,1,0,exact
2026-04-28,16,BVR,70,будни/осн.,1,1,0,exact
2026-04-28,16,C,70,будни/осн.,2,2,0,exact
2026-04-28,16,FF,70,будни/осн.,1,1,0,exact
2026-04-28,16,K,70,будни/осн.,4,4,0,exact
2026-04-28,16,TS,70,будни/осн.,1,1,0,exact
2026-04-28,17,BVR,70,будни/осн.,1,1,0,exact
2026-04-28,17,C,70,будни/осн.,2,2,0,exact
2026-04-28,17,FF,70,будни/осн.,1,1,0,exact
2026-04-28,17,K,70,будни/осн.,4,4,0,exact
2026-04-28,17,TS,70,будни/осн.,1,1,0,exact
2026-04-28,18,BVR,56,будни/осн.,1,1,0,exact
2026-04-28,18,C,56,будни/осн.,2,2,0,exact
2026-04-28,18,FF,56,будни/осн.,1,1,0,exact
2026-04-28,18,K,56,будни/осн.,3,3,0,exact
2026-04-28,18,TS,56,будни/осн.,1,1,0,exact
2026-04-28,19,BVR,38,будни/осн.,1,1,0,exact
2026-04-28,19,C,38,будни/осн.,2,2,0,exact
2026-04-28,19,FF,38,будни/осн.,1,1,0,exact
2026-04-28,19,K,38,будни/осн.,2,2,0,exact
2026-04-28,19,TS,38,будни/осн.,1,1,0,exact
2026-04-28,20,BVR,34,будни/осн.,1,1,0,exact
2026-04-28,20,C,34,будни/осн.,1,1,0,exact
2026-04-28,20,FF,34,будни/осн.,1,1,0,exact
2026-04-28,20,K,34,будни/осн.,2,2,0,exact
2026-04-28,20,TS,34,будни/осн.,1,1,0,exact
2026-04-28,21,BVR,27,будни/осн.,1,1,0,exact
2026-04-28,21,C,27,будни/осн.,1,1,0,exact
2026-04-28,21,FF,27,будни/осн.,1,1,0,exact
2026-04-28,21,K,27,будни/осн.,2,2,0,exact
2026-04-28,21,TS,27,будни/осн.,1,1,0,exact
2026-04-28,22,BVR,22,будни/осн.,1,1,0,exact
2026-04-28,22,C,22,будни/осн.,1,1,0,exact
2026-04-28,22,FF,22,будни/осн.,1,1,0,exact
2026-04-28,22,K,22,будни/осн.,2,2,0,exact
2026-04-28,22,TS,22,будни/осн.,1,1,0,exact
2026-04-29,7,BVR,71,будни/утр.,1,1,0,exact
