employee_id,total_hours,working_days,shifts,avg_shift_duration,stations_used
0,4,1,1,4.0,K
1,36,5,5,7.2,"C,K,TS"
2,39,5,5,7.8,"BVR,C,FF"
3,32,5,5,6.4,"BVR,FF,TS"
4,38,5,5,7.6,"BVR,C,K"
5,19,5,5,3.8,"K,TS"
6,31,5,5,6.2,"C,TS"
7,37,5,5,7.4,"BVR,K"
8,39,5,5,7.8,"K,TS"
9,6,1,1,6.0,TS
10,3,1,1,3.0,K
11,40,5,5,8.0,"BVR,K"
12,4,1,1,4.0,C
13,7,2,2,3.5,"C,K"
14,38,5,5,7.6,"C,K,TS"
15,37,5,5,7.4,K
16,4,1,1,4.0,C
17,38,5,5,7.6,"K,TS"
18,26,4,4,6.5,"C,K,TS"
19,37,5,5,7.4,"FF,TS"
20,28,4,4,7.0,"BVR,FF,TS"
21,19,4,4,4.75,"K,TS"
22,13,2,2,6.5,"C,K"
23,15,2,2,7.5,"C,K"
24,3,1,1,3.0,C
25,6,2,2,3.0,C
26,4,1,1,4.0,FF
27,4,1,1,4.0,C
28,39,5,5,7.8,"C,K,TS"
29,3,1,1,3.0,C
30,21,4,4,5.25,"C,K"
31,40,5,5,8.0,"BVR,C,K"
32,40,5,5,8.0,C
33,28,5,5,5.6,"FF,K,TS"
34,8,2,2,4.0,C
35,4,1,1,4.0,K
36,32,5,5,6.4,"C,FF,K"
37,6,2,2,3.0,"K,TS"
38,37,5,5,7.4,"C,K,TS"
39,3,1,1,3.0,K
40,3,1,1,3.0,K
41,16,4,4,4.0,C
42,3,1,1,3.0,K
43,40,5,5,8.0,"BVR,C,K"
44,40,5,5,8.0,"BVR,K"
45,19,5,5,3.8,"C,K,TS"
46,4,1,1,4.0,K
47,38,5,5,7.6,"C,FF,TS"
48,4,1,1,4.0,K
49,4,1,1,4.0,C
50,21,4,4,5.25,"C,FF,K,TS"
51,16,4,4,4.0,"C,TS"
52,40,5,5,8.0,"C,K"
53,8,2,2,4.0,K
54,37,5,5,7.4,"BVR,C,K"
55,4,1,1,4.0,C
56,23,4,4,5.75,"C,K"
57,4,1,1,4.0,C
58,3,1,1,3.0,K
59,39,5,5,7.8,"C,K,TS"
60,4,1,1,4.0,K
61,7,1,1,7.0,C
62,3,1,1,3.0,TS
63,4,1,1,4.0,C
64,4,1,1,4.0,K
65,3,1,1,3.0,TS
66,40,5,5,8.0,K
67,4,1,1,4.0,K
68,14,2,2,7.0,C
