ds,station_key,employee_id,starttime,finishtime
2026-04-06,BVR,7,7,16
2026-04-06,BVR,20,16,23
2026-04-06,C,6,7,14
2026-04-06,C,43,7,15
2026-04-06,C,61,11,18
2026-04-06,C,14,12,19
2026-04-06,C,38,12,21
2026-04-06,C,32,14,23
2026-04-06,C,55,18,22
2026-04-06,FF,2,7,16
2026-04-06,FF,3,16,23
2026-04-06,K,4,7,15
2026-04-06,K,17,7,15
2026-04-06,K,31,7,14
2026-04-06,K,36,8,15
2026-04-06,K,44,8,17
2026-04-06,K,5,12,16
2026-04-06,K,45,12,16
2026-04-06,K,11,14,23
2026-04-06,K,37,15,18
2026-04-06,K,59,15,23
2026-04-06,K,56,16,22
2026-04-06,K,30,17,23
2026-04-06,K,39,17,20
2026-04-06,K,33,20,23
2026-04-06,TS,8,7,16
2026-04-06,TS,50,16,23
2026-04-07,BVR,2,7,16
2026-04-07,BVR,3,16,23
2026-04-07,C,47,7,14
2026-04-07,C,54,7,14
2026-04-07,C,32,11,18
2026-04-07,C,4,12,19
2026-04-07,C,6,12,21
2026-04-07,C,45,12,16
2026-04-07,C,18,13,20
2026-04-07,C,41,18,22
2026-04-07,C,24,19,22
2026-04-07,FF,36,7,16
2026-04-07,FF,20,16,23
2026-04-07,K,7,7,14
2026-04-07,K,17,7,15
2026-04-07,K,28,7,16
2026-04-07,K,8,8,16
2026-04-07,K,52,8,16
2026-04-07,K,14,12,19
2026-04-07,K,15,12,19
2026-04-07,K,31,12,19
2026-04-07,K,11,15,23
2026-04-07,K,59,16,23
2026-04-07,K,66,16,23
2026-04-07,K,35,19,23
2026-04-07,K,46,19,23
2026-04-07,TS,19,7,14
2026-04-07,TS,5,11,14
2026-04-07,TS,38,11,14
2026-04-07,TS,1,12,19
2026-04-07,TS,33,19,23
2026-04-08,BVR,43,7,16
2026-04-08,BVR,20,16,23
2026-04-08,C,2,7,14
2026-04-08,C,52,7,14
2026-04-08,C,45,11,15
2026-04-08,C,16,12,16
2026-04-08,C,51,12,16
2026-04-08,C,38,13,22
2026-04-08,C,1,15,23
2026-04-08,C,34,16,20
2026-04-08,C,41,17,21
2026-04-08,FF,47,7,16
2026-04-08,FF,3,16,23
2026-04-08,K,8,7,14
2026-04-08,K,15,7,14
2026-04-08,K,17,7,15
2026-04-08,K,28,8,16
2026-04-08,K,59,8,16
2026-04-08,K,5,12,16
2026-04-08,K,22,12,19
2026-04-08,K,14,13,22
2026-04-08,K,44,15,23
2026-04-08,K,7,16,23
2026-04-08,K,11,16,23
2026-04-08,K,30,17,23
2026-04-08,TS,19,7,14
2026-04-08,TS,18,13,20
2026-04-08,TS,33,20,23
2026-04-09,BVR,43,7,16
2026-04-09,BVR,3,16,23
2026-04-09,C,31,7,16
2026-04-09,C,32,7,15
2026-04-09,C,56,11,14
2026-04-09,C,23,12,19
2026-04-09,C,45,12,16
2026-04-09,C,50,15,23
2026-04-09,C,34,16,20
2026-04-09,C,41,18,22
2026-04-09,FF,2,7,14
2026-04-09,FF,19,14,23
2026-04-09,K,4,7,14
2026-04-09,K,8,7,15
2026-04-09,K,66,7,16
2026-04-09,K,38,8,16
2026-04-09,K,54,8,17
2026-04-09,K,5,12,16
2026-04-09,K,21,12,16
2026-04-09,K,53,15,19
2026-04-09,K,7,16,23
2026-04-09,K,11,16,23
2026-04-09,K,17,16,23
2026-04-09,K,36,17,23
2026-04-09,K,0,18,22
2026-04-09,TS,28,7,13
2026-04-09,TS,51,12,16
2026-04-09,TS,20,16,23
2026-04-10,BVR,31,7,16
2026-04-10,BVR,2,16,23
2026-04-10,C,52,7,14
2026-04-10,C,59,7,15
2026-04-10,C,32,8,16
2026-04-10,C,4,12,19
2026-04-10,C,22,12,18
2026-04-10,C,51,12,16
2026-04-10,C,25,16,19
2026-04-10,C,27,16,20
2026-04-10,C,12,17,21
2026-04-10,C,49,18,22
2026-04-10,C,6,19,23
2026-04-10,C,30,20,23
2026-04-10,FF,47,7,16
2026-04-10,FF,26,16,20
2026-04-10,FF,50,20,23
2026-04-10,K,1,7,14
2026-04-10,K,28,7,14
2026-04-10,K,54,7,14
2026-04-10,K,7,8,15
2026-04-10,K,8,8,15
2026-04-10,K,15,8,15
2026-04-10,K,5,12,16
2026-04-10,K,21,12,16
2026-04-10,K,18,13,20
2026-04-10,K,44,14,23
2026-04-10,K,53,15,19
2026-04-10,K,66,15,23
2026-04-10,K,40,16,19
2026-04-10,K,43,16,23
2026-04-10,K,36,17,23
2026-04-10,K,58,19,22
2026-04-10,TS,19,7,14
2026-04-10,TS,14,8,14
2026-04-10,TS,45,11,14
2026-04-10,TS,17,12,19
2026-04-10,TS,3,19,23
2026-04-11,BVR,44,7,14
2026-04-11,BVR,11,14,23
2026-04-11,C,32,7,15
2026-04-11,C,31,8,16
2026-04-11,C,68,11,18
2026-04-11,C,51,12,16
2026-04-11,C,25,15,18
2026-04-11,C,1,16,23
2026-04-11,C,54,16,23
2026-04-11,C,30,17,23
2026-04-11,C,29,18,21
2026-04-11,FF,47,7,14
2026-04-11,FF,33,14,23
2026-04-11,K,13,7,11
2026-04-11,K,66,7,16
2026-04-11,K,48,9,13
2026-04-11,K,64,10,14
2026-04-11,K,21,11,15
2026-04-11,K,60,11,15
2026-04-11,K,56,12,18
2026-04-11,K,18,13,18
2026-04-11,K,14,14,23
2026-04-11,K,52,14,23
2026-04-11,K,15,15,23
2026-04-11,K,10,16,19
2026-04-11,K,43,16,23
2026-04-11,K,42,18,21
2026-04-11,K,50,20,23
2026-04-11,TS,59,7,15
2026-04-11,TS,9,12,18
2026-04-11,TS,37,15,18
2026-04-11,TS,62,18,21
2026-04-11,TS,6,20,23
2026-04-12,BVR,4,7,16
2026-04-12,BVR,54,16,23
2026-04-12,C,13,7,10
2026-04-12,C,28,9,18
2026-04-12,C,68,11,18
2026-04-12,C,63,12,16
2026-04-12,C,6,15,23
2026-04-12,C,57,16,20
2026-04-12,C,41,18,22
2026-04-12,C,36,19,23
2026-04-12,FF,19,7,14
2026-04-12,FF,33,14,23
2026-04-12,K,44,7,14
2026-04-12,K,52,7,16
2026-04-12,K,23,10,18
2026-04-12,K,56,12,20
2026-04-12,K,67,12,16
2026-04-12,K,38,14,22
2026-04-12,K,15,15,23
2026-04-12,K,1,16,23
2026-04-12,K,66,16,23
2026-04-12,TS,65,8,11
2026-04-12,TS,21,11,18
2026-04-12,TS,47,17,23
