employee_id,total_hours,working_days,shifts,avg_shift_duration,stations_used
0,4,1,1,4.0,K
1,40,5,5,8.0,"C,K"
2,39,5,5,7.8,"C,FF,TS"
3,32,5,5,6.4,"BVR,FF"
4,40,5,5,8.0,"C,K"
5,26,5,5,5.2,K
6,28,5,5,5.6,"C,TS"
7,37,5,5,7.4,"C,K,TS"
8,40,5,5,8.0,"BVR,K,TS"
9,10,2,2,5.0,"C,K"
10,4,1,1,4.0,TS
11,40,5,5,8.0,"C,K,TS"
12,4,1,1,4.0,K
13,8,2,2,4.0,"C,TS"
14,40,5,5,8.0,"BVR,C,K"
15,40,5,5,8.0,K
16,4,1,1,4.0,C
17,39,5,5,7.8,"C,K"
18,28,4,4,7.0,"C,K,TS"
19,38,5,5,7.6,"C,FF,TS"
20,28,4,4,7.0,"BVR,C,FF"
21,18,4,4,4.5,K
22,11,2,2,5.5,"C,K"
23,18,2,2,9.0,"C,K"
24,3,1,1,3.0,C
25,3,1,1,3.0,C
26,3,1,1,3.0,FF
27,3,1,1,3.0,C
28,40,5,5,8.0,"C,K,TS"
29,3,1,1,3.0,C
30,21,4,4,5.25,"C,K"
31,40,5,5,8.0,K
32,38,5,5,7.6,C
33,28,5,5,5.6,"BVR,C,FF,K,TS"
34,4,1,1,4.0,C
35,4,1,1,4.0,C
36,31,5,5,6.2,"FF,K,TS"
37,6,2,2,3.0,C
38,40,5,5,8.0,"C,K"
39,3,1,1,3.0,K
40,3,1,1,3.0,BVR
41,8,2,2,4.0,"C,K"
42,3,1,1,3.0,C
43,40,5,5,8.0,"BVR,K"
44,39,5,5,7.8,"BVR,K,TS"
45,19,5,5,3.8,"C,K,TS"
46,3,1,1,3.0,TS
47,39,5,5,7.8,"BVR,C,FF"
48,4,1,1,4.0,K
49,4,1,1,4.0,K
50,22,4,4,5.5,"C,TS"
51,15,4,4,3.75,"C,TS"
52,38,5,5,7.6,"C,K,TS"
53,8,2,2,4.0,"BVR,K"
54,39,5,5,7.8,"BVR,K"
55,4,1,1,4.0,C
56,23,4,4,5.75,"C,K"
57,3,1,1,3.0,TS
58,3,1,1,3.0,FF
59,37,5,5,7.4,"BVR,K"
60,4,1,1,4.0,K
61,7,2,2,3.5,"K,TS"
62,4,1,1,4.0,K
63,4,1,1,4.0,C
64,4,1,1,4.0,C
65,4,1,1,4.0,C
66,39,5,5,7.8,"BVR,C,K"
67,4,1,1,4.0,K
68,14,2,2,7.0,C
